Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
87,,,,,,76.68135178,30.65777207,249.826,0.010,0.010,0.024,0.014,1.834,m,FIX,2023-04-27 16:24:39.4 UTC+05:30,2023-04-27 16:24:39.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,219.475,Global CS
88,,,,,,76.68133720,30.65778376,249.842,0.010,0.010,0.022,0.014,1.834,m,FIX,2023-04-27 16:24:41.2 UTC+05:30,2023-04-27 16:24:41.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,221.377,Global CS
89,,,,,,76.68132073,30.65779593,250.049,0.010,0.010,0.020,0.014,1.834,m,FIX,2023-04-27 16:24:43.2 UTC+05:30,2023-04-27 16:24:43.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,223.446,Global CS
90,,,,,,76.68129361,30.65781531,250.010,0.010,0.010,0.023,0.014,1.834,m,FIX,2023-04-27 16:24:46.4 UTC+05:30,2023-04-27 16:24:46.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,226.796,Global CS
91,,,,,,76.68126091,30.65783780,249.974,0.010,0.010,0.021,0.014,1.834,m,FIX,2023-04-27 16:24:50.2 UTC+05:30,2023-04-27 16:24:50.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,230.766,Global CS
92,,,,,,76.68123517,30.65785673,249.949,0.010,0.010,0.022,0.014,1.834,m,FIX,2023-04-27 16:24:53.2 UTC+05:30,2023-04-27 16:24:53.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,233.989,Global CS
93,,,,,,76.68120881,30.65787663,249.960,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:56.4 UTC+05:30,2023-04-27 16:24:56.4 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,237.332,Global CS
94,,,,,,76.68118110,30.65789838,249.981,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:59.6 UTC+05:30,2023-04-27 16:24:59.6 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,240.913,Global CS
95,,,,,,76.68116561,30.65791179,250.022,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:25:01.6 UTC+05:30,2023-04-27 16:25:01.6 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,243.014,Global CS
96,,,,,,76.68114595,30.65792995,249.994,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:25:04.2 UTC+05:30,2023-04-27 16:25:04.2 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,245.770,Global CS
97,,,,,,76.68110854,30.65795995,250.009,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:25:08.6 UTC+05:30,2023-04-27 16:25:08.6 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,250.655,Global CS
98,,,,,,76.68109296,30.65797162,250.055,0.014,0.015,0.041,0.021,1.834,m,SINGLE,2023-04-27 16:25:10.4 UTC+05:30,2023-04-27 16:25:10.4 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,252.624,Global CS
99,,,,,,76.68107400,30.65798867,249.923,0.017,0.014,0.038,0.022,1.834,m,FIX,2023-04-27 16:25:12.8 UTC+05:30,2023-04-27 16:25:12.8 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,255.244,Global CS
100,,,,,,76.68105567,30.65800260,249.800,0.010,0.010,0.024,0.014,1.834,m,FIX,2023-04-27 16:25:15.0 UTC+05:30,2023-04-27 16:25:15.0 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,257.576,Global CS
101,,,,,,76.68103997,30.65801448,249.637,0.010,0.010,0.021,0.014,1.834,m,FIX,2023-04-27 16:25:16.8 UTC+05:30,2023-04-27 16:25:16.8 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,259.568,Global CS
102,,,,,,76.68102172,30.65803178,249.688,0.010,0.010,0.022,0.014,1.834,m,FIX,2023-04-27 16:25:19.2 UTC+05:30,2023-04-27 16:25:19.2 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,262.162,Global CS
103,,,,,,76.68099451,30.65805937,249.767,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:25:22.8 UTC+05:30,2023-04-27 16:25:22.8 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,266.173,Global CS
